name,begin,length,end,BLAST,BLAST score,refseq,reverse complement,polymerase type,polymerase type support,polymerase subtype,polymerase subtype support,capsid type,capsid type support,capsid subtype,capsid subtype support
MW460035.1,27,7376,7400,Caliciviridae Lagovirus unclassified,82.78164,NC_011704,FALSE,,,,,,,,
MZ708535.1,3878,2800,6678,Caliciviridae Norovirus GII,76.15213,NC_029646,FALSE,GII.P16,100.0,,,GII.2,100.0,,
MZ708534.1,4508,2170,6678,Caliciviridae Norovirus GII,75.95016,NC_029646,FALSE,GII.P16,100.0,,,GII.2,100.0,,
MZ708533.1,4509,2169,6678,Caliciviridae Norovirus GII,75.87282,NC_029646,FALSE,GII.P16,100.0,,,GII.2,100.0,,
MZ708532.1,4509,2178,6687,Caliciviridae Norovirus GII,75.87282,NC_029646,FALSE,GII.P16,100.0,,,GII.2,100.0,,
MZ708531.1,4508,2179,6687,Caliciviridae Norovirus GII,75.95016,NC_029646,FALSE,GII.P16,100.0,,,GII.2,100.0,,
MZ708530.1,4508,2179,6687,Caliciviridae Norovirus GII,75.700935,NC_029646,FALSE,GII.P16,100.0,,,GII.2,100.0,,
MZ708529.1,4508,2179,6687,Caliciviridae Norovirus GII,76.01246,NC_029646,FALSE,GII.P16,100.0,,,GII.2,100.0,,
MZ708528.1,4508,2170,6678,Caliciviridae Norovirus GII,75.95016,NC_029646,FALSE,GII.P16,100.0,,,GII.2,100.0,,
MZ708527.1,4508,2177,6685,Caliciviridae Norovirus GII,75.98254,NC_029646,FALSE,GII.P2,100.0,,,GII.2,100.0,,
MZ708526.1,4508,2179,6687,Caliciviridae Norovirus GII,75.98254,NC_029646,FALSE,GII.P2,100.0,,,GII.2,100.0,,
MZ708525.1,4508,2172,6680,Caliciviridae Norovirus GII,76.16968,NC_029646,FALSE,GII.P2,100.0,,,GII.2,100.0,,
MZ708523.1,4510,2177,6687,Caliciviridae Norovirus GII,75.9724,NC_029646,FALSE,GII.P2,100.0,,,GII.2,100.0,,
MZ708522.1,4508,2173,6681,Caliciviridae Norovirus GII,75.857765,NC_029646,FALSE,GII.P2,100.0,,,GII.2,100.0,,
MZ708521.1,4510,2170,6680,Caliciviridae Norovirus GII,75.93516,NC_029646,FALSE,GII.P2,100.0,,,GII.2,100.0,,
MZ708520.1,4508,2084,6592,Caliciviridae Norovirus GII,77.05329,NC_029646,FALSE,GII.P2,100.0,,,GII.2,100.0,,
MZ708519.1,4510,2168,6678,Caliciviridae Norovirus GII,75.98254,NC_029646,FALSE,GII.P2,100.0,,,GII.2,100.0,,
MT756631.1,5652,2037,7677,Caliciviridae Norovirus GI,70.13575,NC_001959,FALSE,,,,,GI.4,100.0,,
MT756629.1,5308,2402,7701,Caliciviridae Norovirus GI,73.81852,NC_001959,FALSE,,,,,GI.4,100.0,,
MT756627.1,5302,2408,7701,Caliciviridae Norovirus GI,74.24812,NC_001959,FALSE,,,,,GI.4,100.0,,
MT756561.1,5305,2281,7577,Caliciviridae Norovirus GI,74.269554,NC_001959,FALSE,,,,,GI.4,100.0,,
MT754282.1,5035,2485,7505,Caliciviridae Norovirus GII,72.60546,NC_029646,FALSE,,,,,GII.5,100.0,,
MT754281.1,5025,2537,7565,Caliciviridae Norovirus GII,67.8115,NC_029646,FALSE,,,,,GII.4,100.0,Den_Haag_2006b,100.0
MT754278.1,5037,2526,7566,Caliciviridae Norovirus GII,67.07021,NC_029646,FALSE,,,,,GII.4,100.0,New_Orleans_2009,100.0
MT754267.1,5024,2538,7565,Caliciviridae Norovirus GII,67.203865,NC_029646,FALSE,,,,,GII.4,100.0,Den_Haag_2006b,100.0
MT754179.1,5301,2400,7689,Caliciviridae Norovirus GI,72.39436,NC_001959,FALSE,,,,,GI.6,100.0,,
MT753150.1,5298,2401,7687,Caliciviridae Norovirus GI,72.02994,NC_001959,FALSE,,,,,GI.6,100.0,,
MT745876.1,5298,2415,7704,Caliciviridae Norovirus GI,71.88679,NC_001959,FALSE,,,,,GI.2,100.0,,
MN241817.1,0,7484,7484,Caliciviridae unclassified Bovine calicivirus,88.86959,KT119483,FALSE,,,,,,,,
MZ606678.1,10,6009,6019,Caliciviridae Norovirus GII,85.00926,NC_029646,FALSE,GII.P31 (GII.Pe),100.0,,,GII.4,100.0,Sydney_2012,99.0
MW305641.1,35,7502,7537,Caliciviridae Norovirus GII,78.37838,NC_029646,FALSE,GII.P2,100.0,,,GII.2,100.0,,
MW305639.1,35,7521,7562,Caliciviridae Norovirus GII,75.737,NC_029646,FALSE,GII.P16,100.0,,,GII.4,100.0,Sydney_2012,100.0
MW305638.1,41,7515,7559,Caliciviridae Norovirus GII,87.24599,NC_029646,FALSE,GII.P7,100.0,,,GII.6,100.0,,
MW305637.1,35,7521,7562,Caliciviridae Norovirus GII,75.77012,NC_029646,FALSE,GII.P16,100.0,,,GII.4,100.0,Sydney_2012,100.0
MW305636.1,35,7519,7560,Caliciviridae Norovirus GII,75.83637,NC_029646,FALSE,GII.P16,100.0,,,GII.4,100.0,Sydney_2012,100.0
MW305635.1,41,7515,7559,Caliciviridae Norovirus GII,87.09893,NC_029646,FALSE,GII.P7,100.0,,,GII.6,100.0,,
MW305634.1,35,7524,7565,Caliciviridae Norovirus GII,75.75356,NC_029646,FALSE,GII.P16,100.0,,,GII.4,100.0,Sydney_2012,100.0
MW305633.1,35,7524,7565,Caliciviridae Norovirus GII,75.85293,NC_029646,FALSE,GII.P16,100.0,,,GII.4,100.0,Sydney_2012,100.0
MW305632.1,35,7524,7565,Caliciviridae Norovirus GII,75.886055,NC_029646,FALSE,GII.P16,100.0,,,GII.4,100.0,Sydney_2012,100.0
MW305631.1,35,7513,7548,Caliciviridae Norovirus GII,81.058685,NC_029646,FALSE,GII.P21 (GII.Pb),100.0,,,GII.3,100.0,,
MW305630.1,35,7463,7498,Caliciviridae Norovirus GII,81.8389,NC_029646,FALSE,GII.P33 (GII.Pg),100.0,,,GII.1,100.0,,
MW305629.1,35,7463,7498,Caliciviridae Norovirus GII,81.8389,NC_029646,FALSE,GII.P33 (GII.Pg),100.0,,,GII.1,100.0,,
MW305628.1,35,7463,7498,Caliciviridae Norovirus GII,81.82549,NC_029646,FALSE,GII.P33 (GII.Pg),100.0,,,GII.1,100.0,,
MW305627.1,35,7502,7537,Caliciviridae Norovirus GII,78.11109,NC_029646,FALSE,GII.P2,100.0,,,GII.2,100.0,,
MW305626.1,35,7515,7556,Caliciviridae Norovirus GII,85.03794,NC_029646,FALSE,GII.P31 (GII.Pe),100.0,,,GII.4,100.0,Sydney_2012,100.0
MW305609.1,32,7520,7528,Caliciviridae Norovirus GII,75.46204,NC_029646,FALSE,GII.P13,100.0,,,GII.17,100.0,,
MW305608.1,35,7512,7547,Caliciviridae Norovirus GII,81.13176,NC_029646,FALSE,GII.P21 (GII.Pb),100.0,,,GII.3,100.0,,
MW305607.1,35,7507,7539,Caliciviridae Norovirus GII,85.71193,NC_029646,FALSE,GII.P31 (GII.Pe),100.0,,,GII.17,100.0,,
MW305606.1,70,7468,7535,Caliciviridae Norovirus GII,88.37926,NC_029646,FALSE,GII.P7,100.0,,,GII.7,100.0,,
MW305605.1,41,7509,7547,Caliciviridae Norovirus GII,88.3444,NC_029646,FALSE,GII.P7,100.0,,,GII.7,100.0,,
MW305604.1,32,7483,7491,Caliciviridae Norovirus GII,75.348305,NC_029646,FALSE,GII.P13,100.0,,,GII.17,100.0,,
MW305603.1,41,7509,7547,Caliciviridae Norovirus GII,88.40259,NC_029646,FALSE,GII.P7,100.0,,,GII.7,100.0,,
MW305602.1,41,7508,7546,Caliciviridae Norovirus GII,88.40259,NC_029646,FALSE,GII.P7,100.0,,,GII.7,100.0,,
MW305601.1,35,7482,7517,Caliciviridae Norovirus GII,81.45772,NC_029646,FALSE,GII.P21 (GII.Pb),100.0,,,GII.2,100.0,,
MW305600.1,35,7482,7517,Caliciviridae Norovirus GII,81.44127,NC_029646,FALSE,GII.P21 (GII.Pb),100.0,,,GII.2,100.0,,
MW305599.1,41,7529,7573,Caliciviridae Norovirus GII,96.30273,NC_029646,FALSE,GII.P7,100.0,,,GII.6,100.0,,
MW305598.1,41,7510,7554,Caliciviridae Norovirus GII,97.80147,NC_029646,FALSE,GII.P6,100.0,,,GII.6,100.0,,
MW305597.1,35,7491,7520,Caliciviridae Norovirus GII,84.03586,NC_029646,FALSE,GII.P29 (GII.Pa),100.0,,,GII.12,100.0,,
MW305594.1,35,7521,7562,Caliciviridae Norovirus GII,87.12071,NC_029646,FALSE,GII.P4,100.0,Camberwell_1994,98.0,GII.4,100.0,Camberwell_1994,100.0
MW305481.1,33,7671,7701,Caliciviridae Norovirus GI,74.14665,NC_001959,FALSE,GI.P2,100.0,,,GI.2,100.0,,
MW261800.1,39,7515,7548,Caliciviridae Norovirus GII,75.11059,NC_029646,FALSE,GII.P15,100.0,,,GIX.1 (GII.15),100.0,,
MW261799.1,39,7506,7539,Caliciviridae Norovirus GII,75.08509,NC_029646,FALSE,GII.P15,100.0,,,GIX.1 (GII.15),100.0,,
MW261797.1,39,7515,7548,Caliciviridae Norovirus GII,75.127594,NC_029646,FALSE,GII.P15,100.0,,,GIX.1 (GII.15),100.0,,
MW261796.1,39,7515,7548,Caliciviridae Norovirus GII,75.11059,NC_029646,FALSE,GII.P15,100.0,,,GIX.1 (GII.15),100.0,,
MW261795.1,39,7515,7548,Caliciviridae Norovirus GII,75.00851,NC_029646,FALSE,GII.P15,100.0,,,GIX.1 (GII.15),100.0,,
MW261794.1,39,7515,7548,Caliciviridae Norovirus GII,75.09357,NC_029646,FALSE,GII.P15,100.0,,,GIX.1 (GII.15),100.0,,
MW261792.1,39,7512,7545,Caliciviridae Norovirus GII,75.127594,NC_029646,FALSE,GII.P15,100.0,,,GIX.1 (GII.15),100.0,,
MW261791.1,39,7513,7546,Caliciviridae Norovirus GII,75.11059,NC_029646,FALSE,GII.P15,100.0,,,GIX.1 (GII.15),100.0,,
MW261787.1,39,7513,7546,Caliciviridae Norovirus GII,75.127594,NC_029646,FALSE,GII.P15,100.0,,,GIX.1 (GII.15),100.0,,
MT505389.1,0,7443,7437,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,84.87779,NC_001543,FALSE,,,,,,,,
MW661281.1,0,7600,7606,Caliciviridae Norovirus GII,85.1162,NC_029646,FALSE,GII.P31 (GII.Pe),100.0,,,GII.4,100.0,Sydney_2012,100.0
MW661278.1,0,7605,7611,Caliciviridae Norovirus GII,76.00857,NC_029646,FALSE,GII.P16,100.0,,,GII.4,100.0,Sydney_2012,100.0
MW661275.1,6,7584,7593,Caliciviridae Norovirus GII,87.830475,NC_029646,FALSE,GII.P7,100.0,,,GII.6,100.0,,
MW661274.1,6,7550,7559,Caliciviridae Norovirus GII,87.830475,NC_029646,FALSE,GII.P7,100.0,,,GII.6,100.0,,
MW661273.1,0,7533,7533,Caliciviridae Norovirus GII,76.46096,NC_029646,FALSE,GII.P16,100.0,,,GII.2,100.0,,
MW661272.1,0,7529,7535,Caliciviridae Norovirus GII,78.03121,NC_029646,FALSE,GII.P16,100.0,,,GII.1,100.0,,
MW661266.1,0,7511,7517,Caliciviridae Norovirus GII,77.991196,NC_029646,FALSE,GII.P16,100.0,,,GII.1,100.0,,
MW661253.1,0,7589,7583,Caliciviridae Norovirus GII,75.564644,NC_029646,FALSE,GII.P17,100.0,,,GII.17,100.0,,
MW661246.1,0,7625,7628,Caliciviridae Norovirus GII,76.47155,NC_029646,FALSE,GII.P16,100.0,,,GII.2,100.0,,
MW854326.1,11,7521,7534,Caliciviridae Norovirus GII,81.61853,NC_029646,FALSE,GII.P33 (GII.Pg),100.0,,,GII.1,100.0,,
MW661283.1,1,7577,7584,Caliciviridae Norovirus GII,75.83992,NC_029646,FALSE,GII.P16,100.0,,,GII.4,100.0,Sydney_2012,100.0
MW661282.1,0,7603,7609,Caliciviridae Norovirus GII,75.97563,NC_029646,FALSE,GII.P16,100.0,,,GII.4,100.0,Sydney_2012,100.0
MW661280.1,1,7598,7605,Caliciviridae Norovirus GII,75.95521,NC_029646,FALSE,GII.P16,100.0,,,GII.4,100.0,Sydney_2012,100.0
MW661279.1,4,7551,7561,Caliciviridae Norovirus GII,75.97627,NC_029646,FALSE,GII.P16,100.0,,,GII.4,100.0,Sydney_2012,100.0
MW661277.1,1,7600,7601,Caliciviridae Norovirus GII,76.5226,NC_029646,FALSE,GII.P16,100.0,,,GII.2,100.0,,
MW661276.1,16,7545,7561,Caliciviridae Norovirus GII,89.4595,NC_029646,FALSE,GII.P12,100.0,,,GII.3,100.0,,
MT678738.1,3571,3160,6731,Caliciviridae Norovirus GII,84.479866,NC_029646,FALSE,GII.P12,100.0,,,GII.3,100.0,,
MT678737.1,3571,3160,6731,Caliciviridae Norovirus GII,84.56376,NC_029646,FALSE,GII.P12,100.0,,,GII.3,100.0,,
MT678736.1,3571,3160,6731,Caliciviridae Norovirus GII,84.52181,NC_029646,FALSE,GII.P12,100.0,,,GII.3,100.0,,
MT678735.1,3571,3160,6731,Caliciviridae Norovirus GII,84.52181,NC_029646,FALSE,GII.P12,100.0,,,GII.3,100.0,,
MT678734.1,3571,3160,6731,Caliciviridae Norovirus GII,84.64765,NC_029646,FALSE,GII.P12,100.0,,,GII.3,100.0,,
MT678733.1,3571,3160,6731,Caliciviridae Norovirus GII,84.479866,NC_029646,FALSE,GII.P12,100.0,,,GII.3,100.0,,
MT678732.1,3571,3160,6731,Caliciviridae Norovirus GII,85.73825,NC_029646,FALSE,GII.P12,100.0,,,GII.3,100.0,,
MT678731.1,3571,3160,6731,Caliciviridae Norovirus GII,84.81544,NC_029646,FALSE,GII.P12,100.0,,,GII.3,100.0,,
MT678730.1,3571,3160,6731,Caliciviridae Norovirus GII,84.81544,NC_029646,FALSE,GII.P12,100.0,,,GII.3,100.0,,
MT678729.1,3571,3160,6731,Caliciviridae Norovirus GII,84.81544,NC_029646,FALSE,GII.P12,100.0,,,GII.3,100.0,,
MT678728.1,3571,3160,6731,Caliciviridae Norovirus GII,84.89933,NC_029646,FALSE,GII.P12,100.0,,,GII.3,100.0,,
MT678727.1,3571,3160,6731,Caliciviridae Norovirus GII,85.02517,NC_029646,FALSE,GII.P12,100.0,,,GII.3,100.0,,
MT678726.1,3571,3160,6731,Caliciviridae Norovirus GII,84.81544,NC_029646,FALSE,GII.P12,100.0,,,GII.3,100.0,,
MT678725.1,3571,3160,6731,Caliciviridae Norovirus GII,84.89933,NC_029646,FALSE,GII.P12,100.0,,,GII.3,100.0,,
MT678724.1,3571,3160,6731,Caliciviridae Norovirus GII,85.02517,NC_029646,FALSE,GII.P12,100.0,,,GII.3,100.0,,
MT678723.1,3571,3160,6731,Caliciviridae Norovirus GII,85.06711,NC_029646,FALSE,GII.P12,100.0,,,GII.3,100.0,,
LR899176.1,9,7369,7378,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,85.37115,NC_001543,FALSE,,,,,,,,
LR899175.1,13,7365,7378,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,85.58045,NC_001543,FALSE,,,,,,,,
LR899174.1,12,7366,7378,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,89.3565,NC_001543,FALSE,,,,,,,,
LR899173.1,14,7364,7378,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,85.60565,NC_001543,FALSE,,,,,,,,
LR899172.1,13,7365,7378,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,89.24644,NC_001543,FALSE,,,,,,,,
LR899171.1,21,7329,7350,Caliciviridae Lagovirus European brown hare syndrome virus,93.136856,NC_002615,FALSE,,,,,,,,
LR899170.1,12,7366,7378,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,85.22943,NC_001543,FALSE,,,,,,,,
LR899169.1,9,7369,7378,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,89.26584,NC_001543,FALSE,,,,,,,,
LR899168.1,13,7365,7378,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,89.11241,NC_001543,FALSE,,,,,,,,
LR899167.1,12,7366,7378,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,85.49701,NC_001543,FALSE,,,,,,,,
LR899166.1,12,7366,7378,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,85.442696,NC_001543,FALSE,,,,,,,,
LR899165.1,12,7366,7378,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,85.09367,NC_001543,FALSE,,,,,,,,
LR899164.1,11,7367,7378,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,85.30291,NC_001543,FALSE,,,,,,,,
LR899163.1,9,7369,7378,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,85.534,NC_001543,FALSE,,,,,,,,
LR899162.1,23,7355,7378,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,89.73488,NC_001543,FALSE,,,,,,,,
LR899161.1,9,7369,7378,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,85.38472,NC_001543,FALSE,,,,,,,,
LR899144.1,9,7369,7378,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,85.41186,NC_001543,FALSE,,,,,,,,
LR899143.1,13,7365,7378,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,85.25057,NC_001543,FALSE,,,,,,,,
LR899142.1,22,7334,7350,Caliciviridae Lagovirus European brown hare syndrome virus,76.200874,NC_002615,FALSE,,,,,,,,
LR899141.1,11,7367,7378,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,85.241005,NC_001543,FALSE,,,,,,,,
LR899140.1,10,7340,7350,Caliciviridae Lagovirus European brown hare syndrome virus,93.174385,NC_002615,FALSE,,,,,,,,
LR899139.1,9,7369,7378,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,85.3536,NC_001543,FALSE,,,,,,,,
LR899138.1,12,7366,7378,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,89.32935,NC_001543,FALSE,,,,,,,,
LR899137.1,9,7369,7378,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,85.272156,NC_001543,FALSE,,,,,,,,
LR899192.1,9,7369,7378,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,85.15402,NC_001543,FALSE,,,,,,,,
LR899191.1,9,7369,7378,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,85.09975,NC_001543,FALSE,,,,,,,,
LR899190.1,13,7365,7378,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,85.41355,NC_001543,FALSE,,,,,,,,
LR899189.1,9,7369,7378,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,87.61026,NC_001543,FALSE,,,,,,,,
LR899188.1,13,7337,7350,Caliciviridae Lagovirus European brown hare syndrome virus,93.85307,NC_002615,FALSE,,,,,,,,
LR899187.1,8,7348,7350,Caliciviridae Lagovirus European brown hare syndrome virus,76.4778,NC_002615,FALSE,,,,,,,,
LR899186.1,9,7369,7378,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,85.493286,NC_001543,FALSE,,,,,,,,
LR899185.1,13,7337,7350,Caliciviridae Lagovirus European brown hare syndrome virus,93.44418,NC_002615,FALSE,,,,,,,,
MT725762.1,0,7566,7572,Caliciviridae Norovirus GII,84.37449,NC_029646,FALSE,GII.P4,100.0,New_Orleans_2009,97.0,GII.4,100.0,Sydney_2012,100.0
MT724793.1,0,7536,7536,Caliciviridae Norovirus GII,78.030426,NC_029646,FALSE,GII.P2,100.0,,,GII.2,100.0,,
MT720841.1,0,7506,7509,Caliciviridae Norovirus GII,76.32312,NC_029646,FALSE,GII.P16,100.0,,,GII.13,100.0,,
MT712157.1,0,7569,7575,Caliciviridae Norovirus GII,84.92701,NC_029646,FALSE,GII.P31 (GII.Pe),100.0,,,GII.4,100.0,Sydney_2012,100.0
MT712147.1,0,7533,7527,Caliciviridae Norovirus GII,85.63249,NC_029646,FALSE,GII.P33 (GII.Pg),100.0,,,GII.12,100.0,,
MT703831.1,4,7547,7545,Caliciviridae Norovirus GII,74.75055,NC_029646,FALSE,GII.P15,100.0,,,GIX.1 (GII.15),100.0,,
LC556391.1,2722,4808,7530,Caliciviridae Norovirus GII,85.418625,NC_029646,FALSE,GII.P7,100.0,,,GII.14,100.0,,
LC556389.1,2722,4808,7530,Caliciviridae Norovirus GII,85.38727,NC_029646,FALSE,GII.P7,100.0,,,GII.14,100.0,,
LC556388.1,2722,4808,7530,Caliciviridae Norovirus GII,85.418625,NC_029646,FALSE,GII.P7,100.0,,,GII.14,100.0,,
MN509084.1,27,7309,7345,Caliciviridae Sapovirus GII,95.90916,NC_006554,FALSE,,,,,GII.2,100.0,,
MN509083.1,6,7430,7439,Caliciviridae Sapovirus GI,74.22173,NC_006269,FALSE,,,,,GI.6,100.0,,
MN543743.1,-1569,7327,5758,Caliciviridae Sapovirus GXII,83.57454,KX000385,FALSE,,,,,,,,
MT482494.1,,3064,,Unassigned,95.83333,,FALSE,,,,,,,,
MN102407.1,-4,7576,7569,Caliciviridae Sapovirus GII,68.041405,NC_006554,FALSE,,,,,GII.7,100.0,,
MN102403.1,0,7479,7484,Caliciviridae Sapovirus GII,72.922325,NC_006554,FALSE,,,,,GII.5,100.0,,
MN102397.1,0,7594,7587,Caliciviridae Sapovirus GI,72.03823,NC_006269,FALSE,,,,,GI.2,100.0,,
MN102395.1,0,7444,7434,Caliciviridae Sapovirus GIV,96.47707,DQ366346,FALSE,,,,,,,,
MT138027.1,-374,7899,7525,Caliciviridae Sapovirus GVIII,60.290558,LC215895,FALSE,,,,,,,,
MT138024.1,1835,5564,7399,Caliciviridae Sapovirus GVII,59.23077,MF766258,FALSE,,,,,,,,
MT138023.1,-61,7590,7529,Caliciviridae Sapovirus GIV,63.636364,DQ366346,FALSE,,,,,,,,
MT138022.1,157,6934,7091,Caliciviridae Sapovirus Bat sapovirus,63.117874,NC_017936,FALSE,,,,,,,,
MT138019.1,-357,7669,7312,Caliciviridae Sapovirus GXI,62.82051,LC215899,FALSE,,,,,,,,
MT138018.1,489,7186,7675,Caliciviridae Vesivirus Canine calicivirus,61.475407,NC_004542,FALSE,,,,,,,,
MN486490.1,4,7450,7448,Caliciviridae Sapovirus GI,71.68565,NC_006269,FALSE,,,,,GI.2,100.0,,
